wallet,sent_count,received_count,eth_sent,eth_received
0xfBb5e75d44437Ad664c5c0ba6ea68Eb4CE652Aa8,1,0,0.0,0.0
0xBaf2267fA72Ed8fA359112738D20EE31f18f0F36,1,0,0.0,0.0
0x88Ac2Ffb8Aa17E00239A00F746a1e64D0bC2a115,1,0,0.0,0.0
0x41C2700b03843277556B67492e8B040668BeE456,1,0,0.0,0.0
0xA91671aB702837F483edd2e9efd30ca9Fa661280,1,0,0.0,0.0
0xeE872973716f52ecA23fbc7282cb18a1573aeCF3,1,0,0.0,0.0
0xde19236bBd51407E9a6FAaF0d080066acf74EE15,1,0,0.0,0.0
0x14EA3000B60B2edCA5fcC932D0aB70692046207e,1,0,0.0,0.0
0x9D769937Ef18D272Bb53901857A69fB137223553,1,0,0.0,0.0
0xdf0220De43f05d68fBf79C1EAdB29C75142E9a9c,1,0,0.0,0.0
0x0d5175e444ea29Fac76e2204DBB0F1D2d8041984,1,0,0.0,0.0
0xD677a42dDd829047Bc7d3d8af596DB80704c75aB,1,0,0.0,0.0
0x1524bBB243702FB8Aea025BE98759D79f9DdD34A,1,0,0.0,0.0
0x10D89eC9A06bEcb42924c3a01ad168C66F1f5Cb3,1,0,0.0,0.0
0x496e89bac3B3776BDf42c78e1edD0d40cfED1Ab5,1,0,0.0,0.0
0xE20446CccBFd5F9038e747f1deA8016EcBD94Ae5,6,0,0.0,0.0
0x442be06BB5D13711a22CcD3Fa382b72a874c5135,0,6,0.0,0.0
0x43E4b120cd347838D9B91a066C30Bd1983A540A4,1,1,0.00800299,0.008419792166014
0xe935F21F3d0592fecD46b85E8F715Dd892c34C59,0,1,0.0,0.00800299
0xD996E05dADd05A7D1DFEbec04350F26d9Dec349e,12,0,0.0,0.0
0x6087cB9d1D28ca6316CF6020feA697523c355059,0,1,0.0,0.0
0xBbE40ea06cFeE3A6f953075Faf011053d6Dbd109,1,1,0.03,0.03
0xF8A3e41334c726a13bEcba2bE7134C73Fa5CC8Ab,5,1,0.0,0.000107724377989711
0xEff6cb8b614999d130E537751Ee99724D01aA167,0,49,0.0,2.7795599999999997e-13
0x3A98EE5f80268Ed91F8A5880d93468b76a9F3bB4,4,0,0.0,0.0
0xDD9BC35aE942eF0cFa76930954a156B3fF30a4E1,0,7,0.0,0.0
0x0de8FD01aCd97524A6124312992CeF6FeA9FBD5F,15,0,0.7269599999999999,0.0
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,191,0.0,5.390326569715316
0x370A7E2d300c14D79d4A7ee07aACA46c4B3012cF,82,3,12.895518654105455,16.116039601720473
0xb92fe925DC43a0ECdE6c8b1a2709c170Ec4fFf4f,0,105,0.0,24.611256780470733
0x18DD3C14e34c1BC379F7538068c59160D9F68e25,74,2,8.898662535229642,11.939066313465318
0x3e0a91dc5848E17765E3167249A2cb018cbB60Ee,28,0,0.0017939999999999996,0.0
0x4bF9663370A10a8DDeF5F68748700e1fbE3ee8c8,3,4,0.0,0.00026
0x8c795060E7a0D4304d1f565C61480FAd3Cf0e025,1,1,0.0,5.5e-05
0x7eFc6E76CfAd029E4BD0027F6D8cf1d09Ce55c01,1,0,0.0,0.0
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0,34,0.0,0.0
0x72CD4bA4eB231F96d1CB7580cAa6B97c85d80128,1,0,0.0006,0.0
0x5c7BCd6E7De5423a257D81B442095A1a6ced35C5,0,49,0.0,4.785792495737327
0x9B14e26447a5FB7414ee346B8E8d4B534ee44570,2,2,0.0,0.04
0xD533a949740bb3306d119CC777fa900bA034cd52,0,17,0.0,0.0
0x8698500917B4BEb25A3F647365729bB4e10E35A4,1,0,0.0,0.0
0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0,21,0.0,0.0
0x52C5cd96E45c739f0648f5bB42622E0BBD3e7e60,2,0,0.0,0.0
0x8881562783028F5c1BCB985d2283D5E170D88888,0,5,0.0,0.0
0x28b1Dc1a5E3699A428BC51d234DFab7C9CB2a183,0,112,0.0,16.374014944437622
0x24DB902D4e461aFd170d268AbB930A47369E639E,1,0,1.5,0.0
0xd3e50B40C34803D38ef5fd9C17CE77bCe60f4f94,0,1,0.0,1.5
0x7Bb3735911A5dFf0D8Fc6cE0e22Fea88fACbDF5d,2,0,0.002314523411249321,0.0
0x224161Ad4f0AAc417AE52c52171E1918B86946c0,1,1,0.0,0.002314523411249321
0x0668C9Bf6A6936B9Eb5a19f61C663070befF2f9b,30,2,0.8689225040401328,0.26562243901650373
0x1B13410D2c4F0Ae6EcbF509Eb3675A641928b95B,0,1,0.0,0.000300279440204688
0xDaa526086787d9DEbE1D7F3FFdb1fE50cf8687F4,98,0,0.0,0.0
0xBd0D173EEb87D57A09521c24388a12789F33ba96,0,98,0.0,0.0
0x34550906a843E8f40cB7141702974FDffFaF41C0,4,0,0.0,0.0
0x111111125421cA6dc452d289314280a0f8842A65,0,44,0.0,21.215308330000003
0x37064419b380A7a873a9397033C90A0328298Ea7,1,1,0.499948524607619,0.5
0xa1abfA21f80ecf401bd41365adBb6fEF6fEfDF09,41,8,56.74337391,67.8531053767335
0xeE44A96d7ba2eDdada33543C56925cc5eE35c603,1,1,62.800542474027985,62.80058606568733
0xFD58c6360be4B4B9A61DF12b4797E1971dc33Df1,2,3,0.7584521965379784,0.5965
0xf30ba13e4b04Ce5dC4D254Ae5FA95477800F0EB0,86,53,175.22436683490005,1185.8236702561044
0xE45A305A2014224Ae94c4800E094277Bf4d27399,0,1,0.0,1.2040172328
0x169070886FFA8156067CfB59e0E3689c2E4EC751,0,1,0.0,0.0097077009
0xB13278ee59DA5bEC2e8Ed6Ca4c8D86E61a40B7b3,1,1,1.2969209281675835,1.2969656103855907
0x65be58F6b4514249624F7541269696D71992638f,1,1,2.3800289696565775,2.3801681098567333
0xab97925eB84fe0260779F58B7cb08d77dcB1ee2B,30,0,0.7060000000000003,0.0
0xf385896d0bEe7E4732bbb59A6471C01F30A9DC46,0,1,0.0,0.048
0xa20322A2429EE05F75388B32D926868Fc21A7F45,0,1,0.0,0.02
0x540B9ea5B5e8362f758b179F90451082Dadd885A,0,1,0.0,0.02
0xeB61e99629B891a3cb4BBfa655EfBD714DE7f855,3,1,0.04843060424419864,0.048
0xD7701a5072662d0e7F4bdc375Ae45AaeC1A5Ea5a,1,1,0.2711666451295296,0.27
0x584F44D4FdcAf2326B9b1d03eD3097dE619c1d35,6,0,0.12000000000000001,0.0
0x65168F62F35E57811dAB568392aD08B67fB79056,0,1,0.0,0.02
0x348aaeB506CdE21033c0D061aD2386D15613Ffb4,1,1,0.05961501757022678,0.057880586497084
0x7Bdb1791A2086d6b645dCD7c91b7B5615fbEC9DC,1,1,0.0,0.0006
0x54FFf10051c75BdDee59ef519Ac6767528523332,1,1,0.0,0.0006
0x7a2398e1Db53D9E5650122AdB65A0DDAB93D2E49,1,1,0.0,0.0006
0xe444cfD0a063a90c42C27313eA930Fbe7c1397bd,5,0,0.0,0.0
0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,61,5,9.65091679,1.0660210350754973
0xdd3B11eF34cd511a2DA159034a05fcb94D806686,0,1,0.0,0.0
0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,0,1,0.0,0.0
0x507BB23B0da37ee1D493107757d7c31188e794E8,3,0,0.0,0.0
0xA188EEC8F81263234dA3622A406892F3D630f98c,0,2,0.0,0.0
0x744D43C3677E3bFc7D62524bc04383726BBA84Ef,1,0,0.03310112,0.0
0x33a526D9EA1f8b53DDc47a3d2F42bc225f25480E,0,13,0.0,0.6609244509381004
0x1df17ED9b6B505BD4640dcb969f1c007a2dFe06B,2,0,0.0,0.0
0xD107439BD3CB50C31E1f1B35359a075d433f8aEa,1,0,0.0,0.0
0xfc6f3abCc91Cb29020DBb4454c9632B091FB51Ed,1,0,0.0,0.0
0x03baF90b77DF8Fec05BA9a59f26d0e0d021f75b7,13,0,0.0,0.0
0xF505281d6F778b009B7Ed377b1dB1Ca92002ee1D,1,0,0.0,0.0
0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,0,34,0.0,1.741666322817809
0xB1cAD5aa2DDAE964E59fD7AB2f28f51D7efbe585,3,1,0.0,0.000759231570412047
0x99DeE83ce421d0BFAE893B6a9c55210354d889fc,1,0,0.0,0.0
0x1099eE6A268fF3E475999cE28aB558FA37B7d37a,1,1,0.0,0.0001342
0x45804880De22913dAFE09f4980848ECE6EcbAf78,0,15,0.0,0.0
0x9b4B51C7e560FF625997C7caE4f9Fe4fF94B5F12,5,0,0.5,0.0
0x6f66b95a0C512f3497FB46660E0BC3B94B989F8d,0,43,0.0,9.501099999999996
0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,78,0,128.26375266647963,0.0
0x8749361b3C1BC2BB3FF2612282978E348ba5d835,1,2,0.9948457557508646,3.35868119173727
0xf52605c7b778563a5a9144EF4Dc53B57463ca2c7,5,21,0.0,0.41922966
0x4F9F94dA7D47A8F3E491fb3770708115A60a1eaD,1,1,0.222,0.19594
0x4cD00E387622C35bDDB9b4c962C136462338BC31,0,453,0.0,169.34393777722045
0xEe9aF6f7f0dC04b1C97cD9cC95763836d02F63E4,44,0,0.0,0.0
0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0,48,0.0,0.0
0x5286F2D325E1308D8eCa825590Fd492F34f6DF04,1,1,0.032,0.0316870888439992
0x2Bb038A36F0DE6f4AD6B4816b06CAB0804e9d354,1,1,1.2742,1.2662730779999758
0x92957f16Ac788bf6cDDbB0c3F733fC2b455a30C5,1,0,0.0,0.0
0x41eD843A086f44b8Cb23dECC8170c132Bc257874,10,0,0.0,0.0
0x44a29f2934A55C1Ab6e2c2C62dd68C28b695d704,0,3,0.0,0.0
0x43370250bfc02C7F085cB105558DA41E9CDB2D79,8,0,0.0,0.0
0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108,0,137,0.0,0.0
0xceeB4C3b08a10B4EE3DbB83996c14454d425E37F,5,0,0.0,0.0
0x26d3681DfC9E4c8C79cfbf461adec8A21d5d73C5,0,56,0.0,0.0
0x39821f0Aaf9F2fBA6ed50f4107C3661D8CebB154,2,0,0.013,0.0
0x6a2E3a1e16FC29f27Ce61429746D558d656975bB,0,1,0.0,0.013
0xd2ff59e187aDA359Ee9891367B236d6f4059bf63,1,1,0.0,0.0008032800216
0xfE83475880d3592833249BAAacfEC5eD51E29D82,3,0,0.0,0.0
0xD02c8a355599FEe7e4F1d1d71f7A01c0108E353c,0,3,0.0,0.0
0x3C56721A1886e8cB2C76a417dB719598eefdC8c9,5,0,0.0,0.0
0x709de0B97e369661C99AD54F2B858139897D3DbA,0,8,0.0,0.97975151
0x0217D0c146b6a9Cb64Ae4A1AEafCFC3747b40B01,34,0,0.0,0.0
0x0000000071727De22E5E9d8BAf0edAc6f37da032,0,225,0.0,0.0
0x89c5151236De544d077fC69813A4db89224EE8A1,2,2,0.00106550904648005,0.01391610373301005
0xBDFAA3ccEf7838e98Ac4742ea5ECa67151Fe2674,0,1,0.0,0.00053364631347
0xf84d0A92Cd9C66d249b654DD1e684674dAc96385,3,1,14.0,13.62
0xE4C99174198720d0088aF44D935E45B27237ae3D,0,1,0.0,14.0
0x5CeCe7112c641Cc24C7f5342a100A602A143eF93,1,1,4.360419413728532,4.36044245
0x67F48d0c4A0ECc8E47eA21c372c660055b2b6e81,0,5,0.0,7.687810286791528
0x23d6c565382F055c0003156b9043e93B3A3BcBaF,1,0,0.0,0.0
0x7C0F4cf9EB967755a57b568F92e07b1459815553,1,0,0.0,0.0
0x3248bf071798eA986Bf4E47Ec25fd740B9d7c1FD,1,0,0.02377911142514066,0.0
0x094D85cFf33dCdc7616b5cD9085F146c4f72f9bc,0,1,0.0,0.02377911142514066
0x8fA09C7C752cFcFB15a6B756E2608C7e004D89E1,1,1,4.001,10.0
0x398481C6a380144ecf59849b628d2bA375740E7c,0,1,0.0,4.001
0xb798FF41256be17dE555E61844750fB6333D5991,1,1,0.0,0.0006
0xC3D7663Bf232C46134294781c54C5cdC0544229e,7,0,0.0,0.0
0x278d858f05b94576C1E6f73285886876ff6eF8D2,0,291,0.0,0.0
0xa673eAeE7D4795E4cafd6aC61a860cb057D042Ab,1,0,0.000566608432468982,0.0
0xbF1E2D2A5fF44584A833Fd59bc4b8661e37BB62D,0,1,0.0,0.000566608432468982
0x42B64A9e2697e02A1be7841d1FB28623b4055E36,1,2,0.006635202266992151,0.006654216168430151
0x82621f6372F26678AF906DC920E014cb3df4bd32,0,1,0.0,0.006635202266992151
0xe3877E2f4C18159593A95D5Bf646156fee6f38Ef,1,1,0.106268866098562,0.10628788
0x784D358a819A78490A6a168c4B6Adb0c26c88754,0,1,0.0,0.106268866098562
0xBAC44851587E68495f6bF2f91bd8260234d6bCBb,2,0,0.169,0.0
0xDDb9AB1421E6F1d864c01BA63FB05B183d5ea4d4,1,0,0.01,0.0
0xB1bb546a06592E6611AF7996E8FfaA51261FB410,1,1,0.0005,0.08323672596607765
0x8548aa77E86E01C111f40C111adA9ed13fF4e92c,1,1,0.01764234161988773,0.01535806546792432
0x85B3FdcCF8f18908Dda9cDB90E91CeF2d52815Db,0,1,0.0,0.01764234161988773
0x0974C045DF43f4493DFbb1F55db39F217ED3299e,1,0,0.037270572133831906,0.0
0xE30720b73A026C92708887220cAA357725350345,1,2,0.0,0.03730251213383191
0x68A76C3fC063526c40f676f2E47f5de99280Fc7d,1,1,0.05025985413948714,0.05061
0x6F72455cF77343B8218346Be7E1489401C69c9f6,0,1,0.0,0.05025985413948714
0x6c852827694BA142c3aCdC5821eb4aD9F69A7CB5,1,0,0.00267342508528226,0.0
0x9D2bAc0BE60E3508961a78BfdAaB89E1FC04EF76,0,1,0.0,0.00267342508528226
0xe307fFFA376B18aecdC08C14dE8DA3211c8F8feD,1,0,0.002512750874116527,0.0
0x0b6aad3E5C14A9354D368A7e2218DFfE05E55Fa7,0,1,0.0,0.002512750874116527
0x1B014B41A7321fAdAEA037945a802c922aa2A759,2,0,0.0,0.0
0xbc77C4033787D082747D7B928d6D22697bC3F5dE,0,2,0.0,0.0
0x73094a1d84d189D115dCefB34320dA67F0238418,1,1,0.0,0.0999
0x27d6C003D7f99B60EfD8781F6461537f6169b0D6,1,0,0.0,0.0
0x00000000008c57a1CE37836a5e9d36759D070d8c,0,11,0.0,0.0
0x6872b6630a3AFcD3117191a8403C2002e13Df7dE,129,32,11.0564875485609,51.499041619907764
0x60811a39C5Ac14579888af3fDDAf7D3c8b6E56Ea,1,2,0.017827997579742,0.10936282444452
0x963737C550E70FFe4D59464542a28604eDb2eF9a,25,1,209.22739457964,200.0
0x20Aa20F2E4C577545182c145Eed30a42e912FC78,0,1,0.0,0.18820117
0x4db9c160E2eF429Ade99CA98E1C9056EF76c8aC6,9,0,0.0,0.0
0xb93e0C4E4DBcfBd63224B8c74f8528794D8f3fAe,14,0,0.0,0.0
0x894b36c28E13e88231c8927d0BfCF5809bCE4544,5,0,0.0,0.0
0x46340b20830761efd32832A74d7169B29FEB9758,93,0,565.9662524105429,0.0
0xDcEA40425c3498525fcf051A529FF16d068E9bF1,3,0,0.0,0.0
0x264bd8291fAE1D75DB2c5F573b07faA6715997B5,86,0,152.543987551868,0.0
0x11D321ca0DD84BCAfF918d1C95931905530aBA31,0,2,0.0,0.02097723716827824
0x4D42163E3f11FcE595854D1c269c616514fA12b3,0,1,0.0,0.03440508
0x67b98BC24D2fa041B4E5CF2d78Ea18b6d6fB2E50,1,2,0.625,1.25036983
0xD0F6c33de5Ab51301845b75835A1AE0d9F6AD294,1,0,0.001,0.0
0x1231DEB6f5749EF6cE6943a275A1D3E7486F4EaE,0,75,0.0,33.59636877796401
0x11FA8f2064096a51f4Ef9E83732f2ad68d089b9A,4,0,0.0,0.0
0xF51710015536957A01f32558402902A2D9c35d82,10,0,10.129610263148106,0.0
0xb09d45e944f75F2faE25214D38310BF212265ad8,0,1,0.0,0.03640078236479
0x5f65f7b609678448494De4C87521CdF6cEf1e932,0,7,0.0,0.0
0x0A4F6ecB214Dc1d9aCdd99743B4DCc58ccc088b9,1,0,0.0,0.0
0xaC96bc443B14843CEEfd00473402b283e74AeF30,4,0,0.0,0.0
0x6277AB51195f71Dbb1EDeC73C42852409d4e879C,1,0,0.0,0.0
0xbfaFF6d34fC2609DF575eC38E0E1ce6f48080c4e,18,0,0.0,0.0
0x99335159b3c1218Fe341e2ca79d5e2FF626B3a7D,1,0,0.0,0.0
0x57e114B691Db790C35207b2e685D4A43181e6061,0,36,0.0,0.0
0x95C0AF87596f9552fFB507a25f2D76b52a4397dB,2,0,0.0,0.0
0xb300000b72DEAEb607a12d5f54773D1C19c7028d,0,60,0.0,2.31782256094714
0x0a41885182b62004f5d0038d31E2987c6fbd25Bb,1,0,0.0,0.0
0x564F37714De5E5322A84E218a20B88f7b47067fB,20,0,0.0013499999999999999,0.0
0x059bC3DbE522DA79B346643d420e927ba1eB61a9,2,0,0.0,0.0
0xcf6958D69d535FD03BD6Df3F4fe6CDcd127D97df,0,2,0.0,0.0
0x65E735030e2aFD321ccfeb580b12bB199268a804,5,0,3.1902195149367576,0.0
0x4A615fBc0d9520E08dCa436466B283e9751EB4D3,2,0,0.0,0.0
0x2d2f12f2D983E7125e7f974dc62260fc0f525019,0,1,0.0,133.307
0x8AA8D3EBbA34ea71b60B42Bfaa3C054930d18F0c,3,0,0.0,0.0
0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,0,13,0.0,0.0
0x5148b1D40D2082A1Ba56EBfea2321d97846E44b4,1,1,0.3,1.6740213390124141
0x171A19a00eb247225CA7414579b5b47C9EFE31c6,0,1,0.0,0.3
0xfF51EA6543897013A9fd16e3f19cDc419D761Fff,20,0,0.003899999999999999,0.0
0xA9c65238496a97bb633608ac3f2c063aA32Ee7EF,0,1,0.0,0.000195
0xe5b1d2598495EAE9dd6851ED0d68482aA4722616,13,0,0.002535,0.0
0x6367a0C4626F9847d2b9337a7844097709a73e7F,0,2,0.0,0.00039
0x98dB30b9A1E261edf3cf0c483ff27d3c5C81f149,1,0,10.5,0.0
0x8bAD79dEe2f696b971b69Eaf749aD9E84122f659,0,1,0.0,10.5
0x28c1Fe656c5cA5588579E53De3A673aaB2D70431,11,0,0.002145,0.0
0xFC2A46f310500Df73e6F13DF13e14E6451D8aa40,0,1,0.0,0.000195
0x0c5F4195dEb99024dF7593a6Ea275ef0297dc5A3,0,1,0.0,0.000195
0x965485E6330621c6c76bC118F747f4a9F0460DAD,1,0,0.016017255923718457,0.0
0x50ED962c8292237135550449aEaC7fa83D747283,0,1,0.0,0.016017255923718457
0x1d22bae030857da8166bDa3ac4c26f397A19Aa5E,17,0,0.0,0.0
0xFc100f86a7F82ea35Deb4dbfcE9D9697f1C8631e,1,1,0.0,3.2469587660048e-05
0x2E9764992aA1B65Ecc62283b721166eA69B9CB3a,1,0,0.0,0.0
0x6B175474E89094C44Da98b954EedeAC495271d0F,0,51,0.0,0.0
0xDCE570eC38F3452FD12DB64555dC39ea3a878604,9,0,0.0,0.0
0x28d38dF637dB75533bD3F71426F3410a82041544,0,1,0.0,0.0
0x25e3c2882Ee758fa6dBDE417705a3787982c6211,3,0,0.0,0.0
0xd7773610c4B307ebc96017fA3EA5ed3Fb0cf3e5D,0,3,0.0,0.0
0x6A79b5142ed23875cE46f40826ff686b5429f78f,3,0,1.0931387000000001,0.0
0x5A278b7b2d90A96b1ecf6d6be8Ad1FbAd70Ad1ea,1,0,0.0,0.0
0xfe544970F2F36f1A2064eE35b1BC3f175B532a4B,1,0,0.0,0.0
0x142900e075F93d19251E2BeD4E976d671df6A1F7,1,0,0.0,0.0
0x3DB098436a9Bd4DFd285D2289bAC1F2cDb3f374E,10,0,0.0,0.0
0x129298Bf8C437100ed98F75151Fbb4d107062423,1,0,0.0,0.0
0x592Ad9D200099b64899387A88f3Df1c40CfC90Da,11,5,0.0069718241675,0.004803594404641206
0x69D072FcC8Cd8565C4A250B13F93Bf2f7928B42E,1,1,0.0,0.0003
0x5A023AaC2cc9D4De97042595f5e4bB07d5Eb4F7C,4,0,0.0,0.0
0xdF57686394c637e38c05e595DF31c58D25d8e50C,3,0,0.0,0.0
0x507f997c64dE57e189ed1ce95b832CE7b65FAc50,0,1,0.0,0.0
0x7dbd3A5717dF8eB129a7B833e55643141F2B7302,1,1,0.0,6.0853328341907e-05
0x514910771AF9Ca656af840dff83E8264EcF986CA,0,83,0.0,0.0
0x979fBE94aE021730d1E2a7894343aB060c173Bba,2,0,0.0,0.0
0x0A638F07ACc6969abF392bB009f216D22aDEa36d,0,1,0.0,0.0
0x9216309083944eBD80217c64101dfC1cf030356B,1,0,0.0,0.0
0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af,0,219,0.0,1.748910293901912
0x7e4385BdA14afD76bCe8793571Dfe77fFF70d658,2,1,0.13128221871451212,0.1299
0x84A07D8d95c93016515E1F9aa6A7FB6791D9B0Aa,1,1,0.00018,0.000198480231292866
0xa570f81D6a96f22c6fd18b5B60eA7b1B4E532c1e,1,1,0.000198480231292866,0.00018
0x148C6F597E7A68309a2c49E0DD04c7f6Ab4EE718,2,0,0.007105497945816571,0.0
0x00BDCb694aC13D76be40ED71c83633445a9F8311,0,1,0.0,0.007105497945816571
0x3c4aBD6A3540c622D1CCEFEfdDc2c26d7eBB8354,1,1,0.012337487513786605,0.01235
0x8e775eBAD58241F3444d140846116EF80a6377bC,0,1,0.0,0.012337487513786605
0x1887FA9EdADeaB7562B01CC3F4FA246AcE2c3Cdd,27,0,0.203121576092525,0.0
0x2cA209f2fc7A170114C674dE0C33FB2f3dE3Cee7,0,1,0.0,0.0264869075819965
0x3D067EC5Af47370c6Ef4a297c635cE68E5fF5B0C,1,0,0.02781517,0.0
0xdD7126B1a6513fAB22DED5418Bae785bb377f21b,0,1,0.0,0.02781517
0x6bF5d640906DEc27FdAA3404C7C838f971b7C9c3,1,0,0.057530963416877,0.0
0x307576Dd4F73f91BB8c4A2EdB762938E8e067d31,21,54,0.8677621975465005,6.14904367256925
0x9b59034D41f6e3301003873f9714786E14E1D288,2,0,0.0,0.0
0x237825F760fac0545dB320c0D83e1FCa07070D2F,0,1,0.0,0.0
0x8be90dC482a5eC4eF22dc799F392cf8917b6B0Ef,1,0,0.000534653571218528,0.0
